x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x: [1.24410606]   , u:[-1.] , d:2.9252417030678153
x: [1.25551472]   , u:[-1.] , d:0.89675990917573
x: [1.31086566]   , u:[-1.] , d:5.279579709708288
x: [1.28453839]   , u:[-1.] , d:-2.9435927945723965
x: [1.26750903]   , u:[-1.] , d:-1.9874738708374762
x: [1.22740539]   , u:[-1.] , d:-4.277873822574273
x: [1.24350486]   , u:[-1.] , d:1.3825423965391523
x: [1.25846118]   , u:[-1.] , d:1.2521261713057215
x: [1.30250587]   , u:[-1.] , d:4.146008294114329
x: [1.36783114]   , u:[-1.] , d:6.230020911595144
x: [1.35897025]   , u:[-1.] , d:-1.2539203072857399
x: [1.38857069]   , u:[-1.] , d:2.601074495353516
x: [1.41269154]   , u:[-1.] , d:2.02351391838891
x: [1.46735334]   , u:[-1.] , d:5.053488034401376
x: [1.521822]   , u:[-1.] , d:4.979512847069653
x: [1.49799324]   , u:[-1.] , d:-2.9046974433934687
x: [1.55550287]   , u:[-1.] , d:5.252969477763987
x: [1.46557564]   , u:[-1.] , d:-9.548226248835503
x: [1.52056767]   , u:[-1.] , d:5.033627946349783
x: [1.55471544]   , u:[-1.] , d:2.8942092984188013
x: [1.51772373]   , u:[-1.] , d:-4.253886455860888
x: [1.53652355]   , u:[-1.] , d:1.3622585146861927
x: [1.42797169]   , u:[-1.] , d:-11.391710082585297
x: [1.37871409]   , u:[-1.] , d:-5.353731145800497
x: [1.31424368]   , u:[-1.] , d:-6.825755352015694
x: [1.3067581]   , u:[-1.] , d:-1.0628014605550342
x: [1.30931174]   , u:[-1.] , d:-0.05139480360017026
x: [1.32452966]   , u:[-1.] , d:1.2124803223950946
x: [1.25398878]   , u:[-1.] , d:-7.378617197636029
x: [1.22301052]   , u:[-1.] , d:-3.3518149602090705
x: [1.17017907]   , u:[-1.] , d:-5.506155336405405
x: [1.11852547]   , u:[-1.] , d:-5.335539452471121
x: [1.11734152]   , u:[-1.] , d:-0.23692064151707293
x: [1.15282655]   , u:[-1.] , d:3.4311618583785073
x: [1.11419716]   , u:[-1.] , d:-4.015765643042337
x: [1.11833511]   , u:[-1.] , d:0.29959834091777354
x: [1.0684123]   , u:[-1.] , d:-5.110616736965584
x: [1.07323977]   , u:[-1.] , d:0.4143353280353572
x: [1.12718181]   , u:[-1.] , d:5.320963947895619
x: [1.13044904]   , u:[-1.] , d:0.19954100306297853
x: [1.04375057]   , u:[-1.] , d:-8.800296375071726
x: [1.06836068]   , u:[-1.] , d:2.41726058798753
x: [1.06909421]   , u:[-1.] , d:0.004993022047341826
x: [1.04179422]   , u:[-1.] , d:-2.7990938742134936
x: [1.03343466]   , u:[-1.] , d:-0.8777500979929448
x: [1.00796191]   , u:[-1.] , d:-2.580709306784523
x: [1.03008108]   , u:[-1.] , d:2.2039552834942904
x: [1.07516987]   , u:[-1.] , d:4.478797879988617
x: [1.04150577]   , u:[-1.] , d:-3.441580548575813
x: [1.00307921]   , u:[-1.] , d:-3.8841616383431137
x: [1.0204632]   , u:[-1.] , d:1.735319834621245
x: [1.07093293]   , u:[-1.] , d:5.026510128962243
x: [1.12640271]   , u:[-1.] , d:5.4760452048968
x: [1.1445891]   , u:[-1.] , d:1.6922354858980804
x: [1.08755495]   , u:[-1.] , d:-5.848003836549007
x: [1.11421379]   , u:[-1.] , d:2.5783288422455777
x: [1.06327205]   , u:[-1.] , d:-5.208387571553601
x: [1.06690418]   , u:[-1.] , d:0.2999407908503827
x: [0.95039894]   , u:[-1.] , d:-11.71742834262526
x: [0.96574636]   , u:[-1.] , d:1.584343223683333
x: [0.96437543]   , u:[-1.] , d:-0.10283870855552989
x: [0.94633277]   , u:[-1.] , d:-1.7686414458170308
x: [0.96873339]   , u:[-1.] , d:2.2937291621616
x: [0.95669454]   , u:[-1.] , d:-1.172619023315989
x: [0.95672958]   , u:[-1.] , d:0.04680978985044346
x: [0.99118241]   , u:[-1.] , d:3.488553303171593
x: [0.95516537]   , u:[-1.] , d:-3.592886446573829
x: [0.96780777]   , u:[-1.] , d:1.3090749686287078
x: [0.97656354]   , u:[-1.] , d:0.9077694481462355
x: [0.94493545]   , u:[-1.] , d:-3.1393728535295
x: [0.9529113]   , u:[-1.] , d:0.8526499032334784
x: [0.96583173]   , u:[-1.] , d:1.3391317440893977
x: [0.90526725]   , u:[-1.] , d:-6.022280624985114
x: [0.90144709]   , u:[-1.] , d:-0.2872826347616828
x: [0.89089493]   , u:[-1.] , d:-0.9566637330490098
x: [0.90887623]   , u:[-1.] , d:1.9072356453688013
x: [0.90199412]   , u:[-1.] , d:-0.5970871607911796
x: [0.8393865]   , u:[-1.] , d:-6.162756267821522
x: [0.84359192]   , u:[-1.] , d:0.5811551599649383
x: [0.8422683]   , u:[-1.] , d:0.024046700189880314
x: [0.84847374]   , u:[-1.] , d:0.7782753420471656
x: [0.8359657]   , u:[-1.] , d:-1.0992774022675784
x: [0.82620527]   , u:[-1.] , d:-0.8120085664330763
x: [0.80164112]   , u:[-1.] , d:-2.2826204551190115
x: [0.80453759]   , u:[-1.] , d:0.48800520403274084
x: [0.77910416]   , u:[-1.] , d:-2.3478804972247933
