x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x_0: 0.5519999999999996 -- V_prob: 0.8918553331792666
x: [ 1.25846118 -0.83970773]   , u:[-1. -1.] , d:[1.25212617 3.14513478]
x: [ 1.30250587 -0.85279828]   , u:[-1. -1.] , d:[4.14600829 0.53065292]
x: [ 1.36783114 -0.76887499]   , u:[-1. -1.] , d:[ 6.23002091 10.24512708]
x: [ 1.35897025 -0.81139247]   , u:[-1. -1.] , d:[-1.25392031 -2.48287295]
x: [ 1.38857069 -0.89472102]   , u:[-1. -1.] , d:[ 2.6010745  -6.52146275]
x: [ 1.41269154 -0.87052893]   , u:[-1. -1.] , d:[2.02351392 4.31393035]
x: [ 1.46735334 -0.94136129]   , u:[-1. -1.] , d:[ 5.05348803 -5.21270707]
x: [ 1.521822   -0.98406608]   , u:[-1. -1.] , d:[ 4.97951285 -2.32911777]
x: [ 1.49799324 -0.97440327]   , u:[-1. -1.] , d:[-2.90469744  2.95034693]
x: [ 1.55550287 -1.07625928]   , u:[-1. -1.] , d:[ 5.25296948 -8.21119717]
x: [ 1.46557564 -1.12930665]   , u:[-1. -1.] , d:[-9.54822625 -3.22847836]
x: [ 1.52056767 -1.11936705]   , u:[-1. -1.] , d:[5.03362795 3.1232669 ]
x: [ 1.55471544 -1.14406706]   , u:[-1. -1.] , d:[ 2.8942093  -0.35063359]
x: [ 1.51772373 -1.21856158]   , u:[-1. -1.] , d:[-4.25388646 -5.30538537]
x: [ 1.53652355 -1.26976481]   , u:[-1. -1.] , d:[ 1.36225851 -2.90176102]
x: [ 1.42797169 -1.34476757]   , u:[-1. -1.] , d:[-11.39171008  -5.2305117 ]
x: [ 1.37871409 -1.37020434]   , u:[-1. -1.] , d:[-5.35373115 -0.19890897]
x: [ 1.31424368 -1.4229117 ]   , u:[-1. -1.] , d:[-6.82575535 -2.9005314 ]
x: [ 1.3067581  -1.47024513]   , u:[-1. -1.] , d:[-1.06280146 -2.31043209]
x: [ 1.30931174 -1.52156257]   , u:[-1. -1.] , d:[-0.0513948 -2.6614989]
x: [ 1.32452966 -1.54029117]   , u:[-1.  1.] , d:[ 1.21248032 -1.35129669]
x: [ 1.25398878 -1.57071508]   , u:[-1.  1.] , d:[-7.3786172  -2.50210011]
x: [ 1.22301052 -1.57831396]   , u:[-1.  1.] , d:[-3.35181496 -0.18917305]
x: [ 1.17017907 -1.62667397]   , u:[-1.  1.] , d:[-5.50615534 -4.25768727]
x: [ 1.11852547 -1.66050803]   , u:[-1.  1.] , d:[-5.33553945 -2.75673138]
x: [ 1.11734152 -1.62780798]   , u:[-1.  1.] , d:[-0.23692064  3.93051242]
x: [ 1.15282655 -1.62088224]   , u:[-1.  1.] , d:[3.43116186 1.32038259]
x: [ 1.11419716 -1.55465818]   , u:[-1.  1.] , d:[-4.01576564  7.24328741]
x: [ 1.11833511 -1.5321071 ]   , u:[-1.  1.] , d:[0.29959834 2.80976655]
x: [ 1.0684123  -1.60700965]   , u:[-1.  1.] , d:[-5.11061674 -6.9581474 ]
x: [ 1.07323977 -1.63096221]   , u:[-1.  1.] , d:[ 0.41433533 -1.78824654]
x: [ 1.12718181 -1.60042222]   , u:[-1.  1.] , d:[5.32096395 3.68496099]
x: [ 1.13044904 -1.64152844]   , u:[-1.  1.] , d:[ 0.199541   -3.51020014]
x: [ 1.04375057 -1.69050556]   , u:[-1.  1.] , d:[-8.80029638 -4.25618288]
x: [ 1.06836068 -1.67349168]   , u:[-1.  1.] , d:[2.41726059 2.39189334]
x: [ 1.06909421 -1.65135128]   , u:[-1.  1.] , d:[0.00499302 2.8875315 ]
x: [ 1.04179422 -1.61471529]   , u:[-1.  1.] , d:[-2.79909387  4.31495033]
x: [ 1.03343466 -1.60721038]   , u:[-1.  1.] , d:[-0.8777501  1.3652058]
x: [ 1.00796191 -1.67122203]   , u:[-1.  1.] , d:[-2.58070931 -5.79395383]
x: [ 1.03008108 -1.71610037]   , u:[-1.  1.] , d:[ 2.20395528 -3.81661223]
x: [ 1.07516987 -1.70825663]   , u:[-1.  1.] , d:[4.47879788 1.50047413]
x: [ 1.04150577 -1.75152449]   , u:[-1.  1.] , d:[-3.44158055 -3.61852965]
x: [ 1.00307921 -1.80117428]   , u:[-1.  1.] , d:[-3.88416164 -4.2134544 ]
x: [ 1.0204632  -1.75999746]   , u:[-1.  1.] , d:[1.73531983 4.91885617]
x: [ 1.07093293 -1.8187556 ]   , u:[-1.  1.] , d:[ 5.02651013 -5.11581633]
x: [ 1.12640271 -1.81362212]   , u:[-1.  1.] , d:[5.4760452  1.33210386]
x: [ 1.1445891  -1.83825947]   , u:[-1.  1.] , d:[ 1.69223549 -1.65011265]
x: [ 1.08755495 -1.7991131 ]   , u:[-1.  1.] , d:[-5.84800384  4.75289677]
x: [ 1.11421379 -1.78712828]   , u:[-1.  1.] , d:[2.57832884 1.99759452]
x: [ 1.06327205 -1.79199487]   , u:[-1.  1.] , d:[-5.20838757  0.30046911]
x: [ 1.06690418 -1.76916573]   , u:[-1.  1.] , d:[0.29994079 3.07490867]
x: [ 0.95039894 -1.7699862 ]   , u:[-1.  1.] , d:[-11.71742834   0.68711896]
x: [ 0.96574636 -1.77025061]   , u:[-1.  1.] , d:[1.58434322 0.7435455 ]
x: [ 0.96437543 -1.76490093]   , u:[-1.  1.] , d:[-0.10283871  1.30521894]
x: [ 0.94633277 -1.7915023 ]   , u:[-1.  1.] , d:[-1.76864145 -1.89523614]
x: [ 0.96873339 -1.79587568]   , u:[-1.  1.] , d:[2.29372916 0.35416348]
x: [ 0.95669454 -1.69988527]   , u:[-1.  1.] , d:[-1.17261902 10.39491675]
x: [ 0.95672958 -1.71126239]   , u:[-1.  1.] , d:[ 0.04680979 -0.43782639]
